id,lokasi
SPKLU01,SPKLU PLN UIW NTB
SPKLU02,SPKLU DINAS PERHUBUNGAN PROVINSI NTB
SPKLU03,SPKLU PLN UP3 MATARAM
SPKLU04,SPKLU SANTIKA MATARAM
SPKLU05,SPKLU TAMAN SANGKAREANG
SPKLU06,SPKLU KANTOR GUBERNUR NTB
SPKLU07,SPKLU PRIME PARK HOTEL
SPKLU08,SPKLU EPICENTRUM 2
SPKLU09,SPKLU LOMBOK EPICENTRUM MALL 2
SPKLU10,SPKLU CENTER LOMBOK EPICENTRUM MALL
SPKLU11,SPKLU CENTER LOMBOK EPICENTRUM MALL
SPKLU12,SPKLU CENTER LOMBOK EPICENTRUM MALL
SPKLU13,SPKLU CENTER LOMBOK EPICENTRUM MALL
SPKLU14,SPKLU CENTER LOMBOK EPICENTRUM MALL
SPKLU15,SPKLU CENTER LOMBOK EPICENTRUM MALL
SPKLU16,SPKLU CENTER LOMBOK EPICENTRUM MALL
SPKLU17,SPKLU MVP GRAND NATURA
SPKLU18,SPKLU GOLDEN PALACE HOTEL
SPKLU19,SPKLU PLN PLTU JERANJANG
SPKLU20,SPKLU TRANSMART MATARAM
SPKLU21,SPKLU BANK MANDIRI CAKRA
SPKLU22,SPKLU KANTOR ESDM PROVINSI NTB
SPKLU23,SPKLU SASAKU LOMBOK
SPKLU24,SPKLU SHERATON SENGGIGI
SPKLU25,SPKLU PLN ULP TANJUNG NTB
SPKLU26,SPKLU ULP PRAYA
SPKLU27,SPKLU HOTEL ILLIRA
SPKLU28,SPKLU MANDALIKA
SPKLU29,SPKLU MANDALIKA
SPKLU30,SPKLU PLN ULP SELONG
SPKLU31,SPKLU SMK N 1 PRINGGABAYA
SPKLU32,SPKLU BOBO CABIN SEMBALUN
SPKLU33,SPKLU PLN UP3 SUMBAWA
SPKLU34,SPKLU PLN UP3 SUMBAWA
SPKLU35,SPKLU PLN ULP ALAS
SPKLU36,SPKLU PLN PLTD LABUHAN
SPKLU37,SPKLU PLN KP SORIUTU
SPKLU38,SPKLU PLN ULP EMPANG
SPKLU39,SPKLU PLN ULP EMPANG
SPKLU40,SPKLU PLN ULP DOMPU
SPKLU41,SPKLU PLN KP BOLO
SPKLU42,SPKLU PLN UP3 BIMA
SPKLU43,SPKLU PLN ULP BIMA KOTA
SPKLU44,SPKLU PLN ULP WOHA
SPKLU45,SPKLU PLN ULP SAPE
SPKLU46,SPKLU PLN ULP TALIWANG